dateTime.decimalPoint|,
word.message|melding
word.messages|meldingar
word.importing|importerer
word.ecourse|e-kurs
word.quiz|quiz
word.browser|nettlesar
word.remove|fjern
word.selection|utval
word.nobody|ingen
word.vertical|vertikal
word.horizontal|horisontal
word.layout|oppsett
word.choice|val
word.bankrupt|konkurs
word.brreg|brreg
word.countryCode|landskode
word.subject|emne
word.emailTemplate|e-postmal
word.emailTemplates|e-postmålar
word.edit|forandr
word.date|dato
word.key|nøkkel
word.value|verdi
word.time|tid
word.title|tittel
word.heading|overskrift
word.paragraph|avsnitt
word.period|periode
word.week|veke
word.weeks|veker
word.quarter-period|kvartal
word.quarters-period|kvartal
word.confirmed|stadfeste
word.root|rot
word.continue|halde fram
word.create|opprett
word.toCreate|opprettar
word.new|ny
word.was|var
word.ignored|ignorert
word.ignoring|ignorerer
word.important|viktig
word.quarantine|karantene
word.nothing|ikkje noko
word.subunit|undereining
word.subunits|undereiningar
word.parent|overordna
word.cause|årsak
word.errorCode|feilkode
word.status|status
word.info|info
word.eba|eBA
word.do-use|bruke
word.expected|forventa
word.expecting|forventar
word.year|år
word.years|år
word.month|månad
word.months|månadar
word.day|dag
word.days|dagar
word.type|type
word.other|annan
word.invalid|ugyldig
word.internal|interne
word.manually|manuelt
word.hour|time
word.hours|timar
word.minute|minutt
word.minutes|minutt
word.second|sekund
word.seconds|sekunder
word.total|totalt
word.views|visningar
word.percentage|prosentdel
word.page|side
word.next|neste
word.previous|førre
word.sending|sender
word.filename|filnamn
word.webinar|webinar
word.encyclopedia|oppslagsverk
word.yearwheel|årshjul
word.yearwheels|årshjul
word.pdf|PDF
word.lists|lister
word.reset|nullstill
word.link|lenkje
word.loading|lastar
word.big|stor
word.medium|medium
word.small|liten
word.insert|set inn
word.template|mal
word.templates|malar
phrase.appSettings|appinnstillingar
phrase.areYouSure|er du sikker?
phrase.addUser|legg til bruk
phrase.addNew|legg til ny
phrase.allIsFine|alt er ok
phrase.brregUnit|brreg eining
phrase.officialUnit|offisiell eining
phrase.userDefined|brukerdefinert
phrase.logIn|logg Inn
phrase.loggedIn|logga inn
phrase.lastLoggedIn|sist pålogga
phrase.numberOfLogins|talet på pålogginger
phrase.noLogins|ingen pålogginger
phrase.personNotFoundInVismaConnect|personen finst ikkje i Visma Connect
phrase.cannotAddToVismaConnect|kan ikkje leggje til i Visma Connect
phrase.logOut|logg ut
phrase.do-export|eksporter
phrase.do-import|importer
phrase.sendDiplomaToLearner|send kursbevis til kursdeltakar
phrase.sendQuizReceivedToLearner|send svar motteke til quizdeltakar
phrase.sendingEmailFailed|sending av e-post mislykkast
phrase.resourceName|ressursnamn
phrase.externalId|ekstern id
phrase.thisId|denne ID'ein
phrase.thisOrganizationalNumber|dette organisasjonsnummeret
phrase.thisUnit|denne eininga
phrase.thisExternalId|denne eksterne IDA'ein
phrase.extenralId|ekstern ID
phrase.thisUnitIsControlledByBrreg|denne eininga eksisterer allereie og er under kontroll av Brreg
phrase.thisAuthorizedUsername|dette godkjende brukarnamnet
phrase.performedBy|utført av
phrase.theField|feltet
phrase.theUsername|brukarnamnet
phrase.theOrganization|organisasjonen
phrase.theUnit|eininga
phrase.theRegistration|registreringa
phrase.ebaUser|eBA bruker
phrase.ebaUsers|eBA-brukere
phrase.beApproved|blir godkjent
phrase.beChanged|blir forandra
phrase.anApproval|ei godkjenning
phrase.anAction|eit handling
phrase.aUnit|ei eining
phrase.inUse|i bruk
phrase.variousErrors|diverse feil
phrase.noSuchUser|ingen slik bruker
phrase.noSuchUserOrWrongPassword|ingen slik bruker, eller feil passord
phrase.orgnoXAlreadyUpdated|ogno [X] er allereie oppdatert
phrase.orgXHasNoVLUser|organisasjonen '[X]' har ingen tilknytta VL-brukar
phrase.ignoringDeletedUnitWithOrgnoX|ignorerer sletta eining med orgno '[X]'
phrase.processingXY|behandlar [X] '[Y]'
phrase.registered|registrert
phrase.registeredXByY|registrert [X] av [Y]
phrase.editedXByY|redigert [X] av [Y]
phrase.changedX|forandra [X]
phrase.removedX|fjerna [X]
phrase.removingX|fjernar [X]
phrase.xRemoved|[X] fjerna
phrase.deleteX|slett [X]
phrase.deleteXY|slett [X] '[Y]'
phrase.deleteXPermanently|slett [X] permanent
phrase.deletedXPermanently|sletta [X] permanent
phrase.restoredX|retta opp igjen [X]
phrase.deletedX|sletta [X]
phrase.deletingX|sletter [X]
phrase.addedX|la til [X]
phrase.notFound|ikkje funnet
phrase.xNotFound|[X] ikkje funnet
phrase.xNotMarkedDeleted|[X] ikkje merkte som sletta
phrase.isRegistered|er registrert
phrase.tryUnlinkUserIdX|forsøk å kople frå bruker-ID '[X]'
phrase.userWasUnlinked|brukaren blei frakoblet
phrase.couldNotFindVismaConnectLoginInfo|kunne ikkje finne Visma Connect logininfo
phrase.keepCurrentSetting|behald gjeldande innstilling
phrase.userFoundInVismaConnectTryUnlink|bruk funnet i Visma Connect - prøv å kople frå
phrase.userDoesNotExistInVismaConnect|bruk finst ikkje i Visma Connect
phrase.approvedUsernames|godkjende brukarnamn
phrase.addToVismaConnect|leggje til i Visma Connect
phrase.attachedUsers|tilknytta brukarar
phrase.currentConfiguration|gjeldande konfigurasjon
phrase.roleProduct|rolle/produkt
phrase.rolesProducts|roller/produkt
phrase.canAssign|kan tildele
phrase.shortDescription|kort skildring
phrase.logFile|loggfil
phrase.userCategory|brukarkategori
phrase.selfRegistered|selvregistrert
phrase.primarySector|primær sektor
phrase.expiresDate|går ut dato
phrase.quarantineUntil|karantene til
phrase.quarantineExpiresDate|karantene går ut dato
phrase.fromDate|frå dato
phrase.toDate|til dato
phrase.dismissedDate|oppsagd dato
phrase.ipAddresses|iP-adresser
phrase.emailDomain|e-postdomene
phrase.emailAddress|e-postadresse
phrase.emailCourseTaker|kurstagers e-post
phrase.exernalId|ekstern ID
phrase.productAccess|produkttilgang
phrase.productCode|produktkode
phrase.productGroup|produktgruppe
phrase.shortName|kort namn
phrase.pleaseWait|ver vennleg og vent
phrase.customerDetails|kundedetaljar
phrase.customerImport|kundeimport
phrase.importPlusPortDepartments|importere Plusport-avdelingar
phrase.importUnitsAndUsers|import av einingar og brukarar
phrase.googleAnalytics|google Analytics
phrase.vismaConnect|visma Connect
phrase.userNotCreated|bruk ikkje oppretta
phrase.newCustomer|ny kunde
phrase.newProduct|nytt produkt
phrase.newProductRole|nytt produkt/rolle
phrase.newParagraph|nytt avsnitt
phrase.newTitle|ny tittel
phrase.newHeading|ny overskrift
phrase.rootUnit|rotenhet
phrase.userAccess|brukartilgang
phrase.vlUser|vL-bruker
phrase.unitType|typen i eining
phrase.webhookId|webhook-ID
phrase.webhookJob|webhook jobb
phrase.webhookCall|webhook-samtale
phrase.unsupportedWebhookFunction|ikkje støtta webhook-funksjon
phrase.verifyToken|stadfeste token
phrase.secretKey|hemmeleg nøkkel
phrase.fromAllApplications|frå alle applikasjonar
phrase.receivedElearnResults|mottekne kursresultat
phrase.courseMapping|kurstilknyting
phrase.courseMappings|kurstilknytingar
phrase.setUseVLOnNewUsers|sett 'Bruk Visma Learning' på nye brukarar
phrase.setUseVlOnExistingUsers|sett 'Bruk Visma Learning' på eksisterande brukarar
phrase.courseIdMappingExists|ei kurstilknyting til denne kurs-ID-en eksisterer allereie.
phrase.courseUrlMappingExists|ei kurstilknyting med denne URL-en eksisterer allereie
phrase.startJob|start jobben
phrase.startTheJob|starte jobben
phrase.startingJob|startar jobb
phrase.startingUnitImport|startar import av eining
phrase.couldNotStartJobBecauseX|kunne ikkje starte jobben. Jobbstartar sa: [X]
phrase.doYouWantToStartJobNow|vil starte denne jobben no?
phrase.startTheXJob|start [X]jobben
phrase.xJobStarted|starta [X]jobben
phrase.chosenCustomerIsDeleted|den valde kunden ser ut til å ha blitt sletta av ein annan brukar
phrase.savingDataFromBrreg|lagrar data frå Brreg
phrase.xExists|[X] eksisterer
phrase.xUpdatedSuccessfully|[X] blei oppdatert
phrase.registrationExists|registrering eksisterer
phrase.rightExists|rett eksisterer
phrase.roleExists|rolle eksisterer
phrase.capabilityExists|evne finst
phrase.productExists|produktet finst
phrase.productRoleIsAlreadyAdded|produktet/rolla er allereie lagt til
phrase.groupIsAlreadyAdded|denne gruppa er allereie lagt til
phrase.capabilityIsAlreadyAdded|denne evenen er allereie lagt til
phrase.thisProductIsAlreadyAdded|dette produktet er allereie lagt til.
phrase.importJobWasStarted|importjobben blei starta
phrase.pleaseChoose|ver vennleg og vel
phrase.pleaseChooseAFile|ver vennleg og vel ei fil
phrase.chooseExportType|vel eksporttype
phrase.exportType|eksporttype
phrase.searchForX|søk etter [X]
phrase.searchOnX|søk på [X]
phrase.exportX|eksportar [X]
phrase.createX|opprett [X]
phrase.createXY|opprett [X] '[Y]'
phrase.addX|legg til [X]
phrase.editX|forandr [X]
phrase.editXY|forandr [X] '[Y]'
phrase.xYDoesNotExist|[X] '[Y]' eksisterer ikkje
phrase.xYDoesNotExistInZ|[X] '[Y]' finst ikkje i [Z]
phrase.chooseX|vel [X]
phrase.createNewX|opprett ny [X]
phrase.chosenX|valt [X]
phrase.dropXHere|slipp [X] her
phrase.noXIsRegistered|ingen [X] er registrerte
phrase.registeredBy|registrert av
phrase.noXFound|ingen [X] funnet
phrase.validFrom|gyldig frå
phrase.validTo|gyldig til
phrase.xIgnored|[X] ignorert
phrase.noXWithIdYFound|ingen [X] med id [Y] funnet
phrase.noXWithYFound|ingen [X] med [Y] funnet
phrase.noXChosen|ingen [X] valt
phrase.forX|for [X]
phrase.orgLevel|org-nivå
phrase.noXForYFound|ingen [X] for [Y] funnet
phrase.lookingFor|ser etter
phrase.lookingForOrgLevel|ser etter organisasjonsnivå
phrase.lookingForParentOrgLevelForX|ser etter overordna organisasjonsnivå for [X]
phrase.lookingForParentUnitForX|ser etter overordna eining for [X]
phrase.unitXHasNewParentUnitY|eininga [X] har ny overordna eining [Y]
phrase.parentForX|overordna for [X]
phrase.parentForXIsY|overordna for [X] er [Y]
phrase.couldNotDeleteX|kunne ikkje slette [X]
phrase.pleaseChooseX|ver vennleg og vel [X]
phrase.xMandatory|[X] må fyllast ut
phrase.xMustBeGreaterY|[X] må vere større enn [Y]
phrase.xMustBeGreaterOrEqualY|[X] må vere større enn eller lik [Y]
phrase.xMustBeLessY|[X] må vere mindre enn [Y]
phrase.xMustBeLessOrEqualY|[X] må vere mindre enn eller lik [Y]
phrase.aXWasAttachedtoBY|[A] '[X]' blei kopla til [B] '[Y]'
phrase.newX|ny [X]
phrase.xMissing|[X] manglar
phrase.noXIsSelected|ingen [X] er valde
phrase.parentX|overordna [X]
phrase.childrenX|underordna [X]
phrase.anXCannotGetY|ein [X] kan ikkje få [Y]
phrase.aGroup|ei gruppe
phrase.aBusiness|ei verksemd
phrase.aDepartment|ei avdeling
phrase.aRootUnit|ein rotenhet
phrase.aFile|ei fil
phrase.theFileIsEmpty|fila er tom
phrase.anOrganization|ein organisasjon
phrase.xWithYAlreadyExists|[X] med [Y] eksisterer allereie
phrase.withThisName|med dette namnet
phrase.byNameX|ved namn [X]
phrase.xForYAlreadyExists|[X] for [Y] eksisterer allereie
phrase.xAlreadyExists|[X] eksisterer allereie
phrase.xAlreadyExistsInY|[X] finst allereie i [Y]
phrase.xIsAlreadyY|[X] er allereie [Y]
phrase.xIsNotAvailable|[X] er ikkje tilgjengeleg
phrase.xIsAlreadyInUse|[X] er allereie i bruk
phrase.removingExistingUserXPermanently|sletter eksisterande bruk '[X]' permanent
phrase.thisUsername|dette brukarnamnet
phrase.thisName|dette namnet
phrase.thisSector|denne sektoren
phrase.withXY|med [X] [Y]
phrase.xY|[X] '[Y]'
phrase.xForY|[X] for [Y]
phrase.noXProvided|ingen [X] oppgitt
phrase.noXForYIsProvided|ingen [X] for [Y] er gitt opp
phrase.thisXCannotYBecauseZ|denne [X] kan ikkje [Y] fordi [Z]
phrase.xCannotYBecauseZ|[X] kan ikkje [Y] fordi [Z]
phrase.xForUserY|[X] for bruker [Y]
phrase.itAlreadyXByY|det allereie [X] av [Y]
phrase.ownerOfXHasY|eigar av [X] har [Y]
phrase.xIsLocatedY|[X] er plassert [Y]
phrase.inADifferentX|i ein annan [X]
phrase.invalidXY|ugyldig [X] '[Y]'
phrase.lineX|linje [X]
phrase.movedToUnitXFromY|flytte til eining '[X]', var '[Y]'
phrase.updateSwedishMunicipalities|oppdater svenske kommunar
phrase.updateMunicipalities|oppdatere kommunar
phrase.startBrregUnitUpdate|start brreg-oppdatering
phrase.removeUnusedTrialAccounts|fjerne ubrukte prøvekontoar
phrase.removeExpiredTrialAccounts|fjerne utløpte prøvekontoar
phrase.updateFeideDomains|oppdater Feide domene
phrase.turnsTheJobOnOrOff|slår jobben på eller av
phrase.numberOfUsersPerTransaction|talet på brukarar per transaksjon
phrase.numberOfTransactionsPerJob|talet på transaksjonar per jobb
phrase.typeEmailAddress|skriv inn e-post adresse
phrase.runTest|køyr test
phrase.newUsername|nytt brukarnamn
phrase.onlyOwnRegistrations|berre eigne registreringar
phrase.userReloadedDueToImport|på grunn av import har den valde brukaren blitt lasta inn på nytt.Viss du har gjort endringar, må du gjere dei på nytt!
phrase.personalData|personale
phrase.pleaseWaitCreatingCsvFile|ver vennleg og vent, lagar CSV-fil.
phrase.pleaseWaitDeletingUsers|ver vennleg og vent, sletter brukarar.
phrase.currentSelection|gjeldande utval
phrase.pleaseWaitDeleting|ver vennleg og vent, sletter.
phrase.onlyDeletedUsers|berre sletta brukarar
phrase.onlyShowsDeletedUsers|viser berre brukarar merkt som sletta
phrase.onlyShowsSelfregisteredUsers|viser berre brukarar som har oppretta sin eigen konto
phrase.thisCustomerIsMarkedAsDeleted|denne kunden er merkt som sletta
phrase.onlyIpUsers|berre IP-brukarar
phrase.ipUsersAndLogins|iP-brukere og pålogginger
phrase.onlyLogins|berre pålogginger
phrase.onlyShowsIpUsers|viser berre brukarar der ei IP-adresse er registrert
phrase.currentWithIpSharing|noverande med IP-deling
phrase.onlyShowsCurrentWithIpSharing|viser berre brukarar registrert med IP som overlappar andre brukarar
phrase.allWithIpSharing|alle med IP-deling
phrase.onlyShowsAllWithIpSharing|viser berre brukarar som er registrerte med, eller har hatt, IP som overlappar andre brukarar.
phrase.onlyUsersWithSamePrimarySector|berre brukarar med same primærsektor
phrase.onlySelfregistered|berre selvregistrert
phrase.onlyShowSelfregistered|viser berre selvregistrerte brukarar
phrase.onlyShowProducts|vis berre produkt
phrase.onlyShowRoles|vis berre rollar
phrase.createdBySys|oppretta av (blir sytt)
phrase.accountStatus|konto status
phrase.accountConfirmed|konto stadfeste
phrase.accountConfirmedStatus|konto stadfeste status
phrase.accountActive|konto aktiv
phrase.lastUse|sist bruk
phrase.afterDate|etter dato
phrase.beforeDate|før dato
phrase.lastChanged|sist forandra
phrase.ipAddress|iP adresse
phrase.resetSearch|tilbakestill søk
phrase.deleteCurrentSelection|slette gjeldande val
phrase.areYouAlive|er du i live?
phrase.workRelation|arbeidsforhold
phrase.statusMyPage|status Min Side
phrase.availableBasedOnProducts|tilgjengeleg basert på produkttilgang
phrase.shouldReceiveNewsFor|bør få nyheiter for
phrase.gettingData|hentar data
phrase.gettingContent|hentar innhald
phrase.selfregisteredTrialUser|selvregistrert prøvebruk
phrase.selfregisteredUser|selvregistrert bruker
phrase.infoEmail|info e-post
phrase.restoreCustomer|rett opp igjen kunde
phrase.deleteCustomer|slett kunde
phrase.deleteCustomerPermanently|slett kunden permanent
phrase.editCustomer|forandr kunde
phrase.foundXCustomersToDeletePermanently|fann [X] kundar å slette permanent
phrase.chooseTheExportTypeYouWant|vel typen eksport du vil gjere
phrase.chooseAndImportFile|vel og importer fil
phrase.importCustomers|importere kundar
phrase.changeXmlContent|redigere XML-innhald
phrase.logLevel|loggnivå
phrase.logClass|logg klasse
phrase.courseTable|kurstabell
phrase.eventLog|hendingslogg
phrase.ecourseChart|e-kursdiagram
phrase.elrReturned|eLearnReception returnert
phrase.dataFromResult|data frå resultatet
phrase.dataFromPrimeRequest|data frå prime-request
phrase.fromIp|frå IP
phrase.forwardedFor|vidaresendt for
phrase.sectorId|sektor-ID
phrase.originalContent|originalt innhald
phrase.copyToModified|kopiar til forandra
phrase.modifiedContent|forandra innhald
phrase.csvExport|cSV-eksport
phrase.courseTaker|kurstakar
phrase.startGAUpdateJobFromFile|start oppdateringsjobb (frå fil)
phrase.startGAUpdateJobFromGA|start oppdateringsjobb (frå GAV)
phrase.reportArea|rapporteringsområdet
phrase.reportAreas|rapporteringsområde
phrase.welcomeX|velkommen [X]
phrase.jsonExport|jSON eksport
phrase.xHasThisProduct|[X] har dette produktet
phrase.selectAtLeastOneSector|vel minst éin sektor
phrase.yearToDate|så langt dette året
phrase.chooseYear|vel år
phrase.chooseSector-s|vel sektor(er)
phrase.unaffiliatedRootUnits|ikke-tilknyttede rotenheter
phrase.includeSubunits|inkludere undereiningar
phrase.includeIpCoop|inkludere IP-samarbeid
phrase.postalAddress|postadresse
phrase.numberOfEmployees|mengd tilsette
phrase.foundedDate|stiftet dato
phrase.listMode|listemodus
phrase.annualOverview|årleg oversikt
phrase.creatingAnnualOverview|lagar årleg oversikt
phrase.noPropertiesSelected|ingen eigenskapar er valde
phrase.vismaConnectId|visma Connect ID
phrase.createdDate|oppretta dato
phrase.emailVerified|e-post stadfeste
phrase.emailVerifiedDate|e-post stadfeste dato
phrase.preferredLanguage|føretrekt Språk
phrase.plainText|rein tekst
phrase.editEmailTemplate|redigere e-postmal
phrase.sendToUser|send til bruk
phrase.noEmailTemplatesRegisteredInVismaConnect|ingen e-postmålar registrert i Visma Connect
phrase.noEmailTemplateNamedXFoundInVismaConnect|det finst ingen e-postmal ved namn '[X]' i Visma Connect
phrase.vismaConnectReturned|visma Connect returnerte
phrase.emailToUserXWithTemplateYSuccessfullySent|e-post til bruk '[X]' med mal '[Y]' sendt utan feil
phrase.usernameXDoesNotExistInVismaConnect|brukarnamn '[X]' finst ikkje i Visma Connect
phrase.foundMultipleUsersWithEmailX|fann fleire brukarar med e-post '[X]'
phrase.findUser|finn bruker
phrase.lookupUsernameInVismaConnect|oppslag brukarnamn i Visma Connect
phrase.lookupUserByExternalLogin|oppslagsbruk basert på eksterne påloggingsdata frå EBA
phrase.updatedDate|oppdatert dato
phrase.lastEventDate|sist hending dato
phrase.lastErrorDate|sist feil dato
phrase.attemptsLastError|forsøk sist feil
phrase.lastErrorCause|siste feilårsak
phrase.numberOfEventsInQueue|talet på hendingar i køen
phrase.vismaLearnDataOnlyAvailableToVLUsers|visma Learn-data er berre tilgjengeleg for VL-brukarar
phrase.vismaLearnInfo|visma Learn info
phrase.vismaLearnCustomerInfo|visma Learn kundeinfo
phrase.vismaLearnCourse|visma Learn kurs
phrase.courseAffiliation|kurstilknyting
phrase.courseAffiliations|kurstilknytingar
phrase.courseAffiliationIngress|
phrase.viewName|visningsnamn
phrase.nothingToShow|ikkje noko å vise
phrase.noDataFound|ingen data funne
phrase.blacklistReportAreas|svarteliste rapportområde
phrase.notSelected|ikkje valt
phrase.courseId|kurs-ID
phrase.courseName|kursnamn
phrase.notAffiliated|ikkje knytte til
phrase.municipality/organization|kommune/organisasjon
phrase.thisCustomerSharesEmailDomainWithTheFollowing|denne kunden deler e-postdomenet med følgjande kundar
phrase.oneOrMoreCustomersWithDomainXFound|ein eller fleire kundar med e-postdommane [X] funnet
phrase.doesNotExist|eksisterer ikkje
phrase.noChanges|ingen endringar
phrase.isNotAffiliatedWithAnyUnit|er ikkje knytt til noka eining
phrase.foundNewParentUserX|fann ny overordna brukar [X]
phrase.deactivatedOrMarkedDeleted|deaktivert eller merket som sletta
phrase.usingAuthorizedUsernameForX|bruk godkjent-brukernavn oppføring for [X]
phrase.theUser|brukaren
phrase.authorizedUsername|godkjent brukarnamn
phrase.deltedAuthorizedUsernameX|sletta godkjent-brukernavn oppføring '[X]'
phrase.successfullyChangedUsernameFromXToY|vellykka endring brukarnamn '[X]' -> '[Y]'
phrase.becauseEmailDomainIsSharedByXVLUsers|fordi e-postdomene blir delt av [X] VL-brukarar
phrase.deletingAuthorizedUsernameXBecauseItsAuthorizedByOrgEmailDomain|sletter godkjent brukarnamn [X] fordi det no blir godkjent av e-postdomenet til organisasjonen
phrase.notSet|ikkje sat
phrase.registrationDate|registreringsdato
phrase.changedByUser|forandra av bruk
phrase.modifiedDate|forandra dato
phrase.canChangePassword|kan forandre passord
phrase.userAccount|brukarkonto
phrase.userRegistrations|brukarregistreringar
phrase.validFromToDate|gyldig frå/til dato
phrase.isSetToX|er sett til '[X]'
phrase.invalidX|ugyldig [X]
phrase.detectedChanges|endringar oppdaga
phrase.numberOfChanges|talet på endringar
phrase.xDoesNotExist|[X] eksisterer ikkje
phrase.automaticallyAddedX|[X] automatisk lagt til
phrase.notSendt|ikkje sendt
phrase.noResultXmlFound|ingen resultat-XML funnet
phrase.elrReturnedX|eLearnReception returnerte [X]
